title,year,source,score
The Incredible Hulk,2008,TMDB,6.244
Punisher: War Zone,2008,IMDb,5.9
Punisher: War Zone,2008,Rotten Tomatoes,29%
Punisher: War Zone,2008,Metacritic,30/100
Punisher: War Zone,2008,TMDB,5.877
Wolverine and the X-Men (TV Series),2008,IMDb,
Wolverine and the X-Men (TV Series),2008,Rotten Tomatoes,
Wolverine and the X-Men (TV Series),2008,Metacritic,
Wolverine and the X-Men (TV Series),2008,TMDB,
X-Men Origins: Wolverine,2009,IMDb,6.5
X-Men Origins: Wolverine,2009,Rotten Tomatoes,37%
X-Men Origins: Wolverine,2009,Metacritic,40/100
X-Men Origins: Wolverine,2009,TMDB,6.292
Iron Man 2,2010,IMDb,6.9
Iron Man 2,2010,Rotten Tomatoes,72%
Iron Man 2,2010,Metacritic,57/100
Iron Man 2,2010,TMDB,6.855
Marvel Anime: Iron Man (TV Series),2010,IMDb,
Marvel Anime: Iron Man (TV Series),2010,Rotten Tomatoes,
Marvel Anime: Iron Man (TV Series),2010,Metacritic,
Marvel Anime: Iron Man (TV Series),2010,TMDB,
Thor,2011,IMDb,7.0
Thor,2011,Rotten Tomatoes,77%
Thor,2011,Metacritic,57/100
Thor,2011,TMDB,6.771
X-Men: First Class,2011,IMDb,7.7
X-Men: First Class,2011,Rotten Tomatoes,86%
X-Men: First Class,2011,Metacritic,65/100
X-Men: First Class,2011,TMDB,7.3
Captain America: The First Avenger,2011,IMDb,6.9
Captain America: The First Avenger,2011,Rotten Tomatoes,80%
Captain America: The First Avenger,2011,Metacritic,66/100
Captain America: The First Avenger,2011,TMDB,7.008
Marvel Anime: Wolverine (TV Series),2011,IMDb,
Marvel Anime: Wolverine (TV Series),2011,Rotten Tomatoes,
Marvel Anime: Wolverine (TV Series),2011,Metacritic,
Marvel Anime: Wolverine (TV Series),2011,TMDB,
Marvel Anime: X-Men (TV Series),2011,IMDb,
Marvel Anime: X-Men (TV Series),2011,Rotten Tomatoes,
Marvel Anime: X-Men (TV Series),2011,Metacritic,
Marvel Anime: X-Men (TV Series),2011,TMDB,
Marvel Anime: Blade (TV Series),2011,IMDb,
Marvel Anime: Blade (TV Series),2011,Rotten Tomatoes,
Marvel Anime: Blade (TV Series),2011,Metacritic,
Marvel Anime: Blade (TV Series),2011,TMDB,
Ghost Rider: Spirit of Vengeance,2012,TMDB,5.0
The Avengers,2012,IMDb,8.0
The Avengers,2012,Rotten Tomatoes,91%
The Avengers,2012,Metacritic,69/100
The Avengers,2012,TMDB,8.044
The Amazing Spider-Man,2012,IMDb,6.9
The Amazing Spider-Man,2012,Rotten Tomatoes,71%
The Amazing Spider-Man,2012,Metacritic,66/100
The Amazing Spider-Man,2012,TMDB,6.739
Iron Man 3,2013,IMDb,7.1
Iron Man 3,2013,Rotten Tomatoes,79%
Iron Man 3,2013,Metacritic,62/100
Iron Man 3,2013,TMDB,6.933
The Wolverine,2013,IMDb,6.7
The Wolverine,2013,Rotten Tomatoes,71%
The Wolverine,2013,Metacritic,61/100
The Wolverine,2013,TMDB,6.435
Agents of S.H.I.E.L.D. (Season 1),2013,IMDb,
Agents of S.H.I.E.L.D. (Season 1),2013,Rotten Tomatoes,
Agents of S.H.I.E.L.D. (Season 1),2013,Metacritic,
Agents of S.H.I.E.L.D. (Season 1),2013,TMDB,
Thor: The Dark World,2013,IMDb,6.7
Thor: The Dark World,2013,Rotten Tomatoes,67%
Thor: The Dark World,2013,Metacritic,54/100
Thor: The Dark World,2013,TMDB,6.511
Captain America: The Winter Soldier,2014,IMDb,7.7
Captain America: The Winter Soldier,2014,Rotten Tomatoes,90%
Captain America: The Winter Soldier,2014,Metacritic,70/100
Captain America: The Winter Soldier,2014,TMDB,7.656
The Amazing Spider-Man 2,2014,IMDb,6.6
The Amazing Spider-Man 2,2014,Rotten Tomatoes,51%
The Amazing Spider-Man 2,2014,Metacritic,53/100
The Amazing Spider-Man 2,2014,TMDB,6.542
X-Men: Days of Future Past,2014,IMDb,7.9
X-Men: Days of Future Past,2014,Rotten Tomatoes,90%
X-Men: Days of Future Past,2014,Metacritic,75/100
X-Men: Days of Future Past,2014,TMDB,7.531
Guardians of the Galaxy,2014,IMDb,8.0
Guardians of the Galaxy,2014,Rotten Tomatoes,91%
Guardians of the Galaxy,2014,Metacritic,76/100
Guardians of the Galaxy,2014,TMDB,7.906
Agent Carter (Short Film release period / lead-in to series),2014,IMDb,
Agent Carter (Short Film release period / lead-in to series),2014,Rotten Tomatoes,
Agent Carter (Short Film release period / lead-in to series),2014,Metacritic,
Agent Carter (Short Film release period / lead-in to series),2014,TMDB,
Marvel Disk Wars: The Avengers (TV Series),2014,IMDb,
Marvel Disk Wars: The Avengers (TV Series),2014,Rotten Tomatoes,
Marvel Disk Wars: The Avengers (TV Series),2014,Metacritic,
Marvel Disk Wars: The Avengers (TV Series),2014,TMDB,
Agent Carter (Season 1),2015,IMDb,
Agent Carter (Season 1),2015,Rotten Tomatoes,
Agent Carter (Season 1),2015,Metacritic,
Agent Carter (Season 1),2015,TMDB,
Daredevil (Season 1),2015,IMDb,
Daredevil (Season 1),2015,Rotten Tomatoes,
Daredevil (Season 1),2015,Metacritic,
Daredevil (Season 1),2015,TMDB,
Avengers: Age of Ultron,2015,IMDb,7.3
Avengers: Age of Ultron,2015,Rotten Tomatoes,75%
Avengers: Age of Ultron,2015,Metacritic,66/100
Avengers: Age of Ultron,2015,TMDB,7.274
Hulk and the Agents of S.M.A.S.H. (TV Series),2015,IMDb,
Hulk and the Agents of S.M.A.S.H. (TV Series),2015,Rotten Tomatoes,
Hulk and the Agents of S.M.A.S.H. (TV Series),2015,Metacritic,
Hulk and the Agents of S.M.A.S.H. (TV Series),2015,TMDB,
Ant-Man,2015,IMDb,7.2
Ant-Man,2015,Rotten Tomatoes,83%
Ant-Man,2015,Metacritic,64/100
Ant-Man,2015,TMDB,7.066
Fantastic Four,2015,IMDb,4.3
Fantastic Four,2015,Rotten Tomatoes,9%
Fantastic Four,2015,Metacritic,27/100
Fantastic Four,2015,TMDB,4.437
Jessica Jones (Season 1),2015,IMDb,
Jessica Jones (Season 1),2015,Rotten Tomatoes,
Jessica Jones (Season 1),2015,Metacritic,
Jessica Jones (Season 1),2015,TMDB,
Agents of S.H.I.E.L.D. (Season 2),2015,IMDb,
Agents of S.H.I.E.L.D. (Season 2),2015,Rotten Tomatoes,
Agents of S.H.I.E.L.D. (Season 2),2015,Metacritic,
Agents of S.H.I.E.L.D. (Season 2),2015,TMDB,
Agent Carter (Season 2),2016,IMDb,
Agent Carter (Season 2),2016,Rotten Tomatoes,
Agent Carter (Season 2),2016,Metacritic,
Agent Carter (Season 2),2016,TMDB,
Deadpool,2016,IMDb,8.0
Deadpool,2016,Rotten Tomatoes,85%
Deadpool,2016,Metacritic,65/100
Deadpool,2016,TMDB,7.624
Daredevil (Season 2),2016,IMDb,
Daredevil (Season 2),2016,Rotten Tomatoes,
Daredevil (Season 2),2016,Metacritic,
Daredevil (Season 2),2016,TMDB,
Captain America: Civil War,2016,IMDb,7.8
Captain America: Civil War,2016,Rotten Tomatoes,90%
Captain America: Civil War,2016,Metacritic,75/100
Captain America: Civil War,2016,TMDB,7.448
X-Men: Apocalypse,2016,IMDb,6.8
X-Men: Apocalypse,2016,Rotten Tomatoes,47%
X-Men: Apocalypse,2016,Metacritic,52/100
X-Men: Apocalypse,2016,TMDB,6.525
Agents of S.H.I.E.L.D. (Season 3),2016,IMDb,
Agents of S.H.I.E.L.D. (Season 3),2016,Rotten Tomatoes,
Agents of S.H.I.E.L.D. (Season 3),2016,Metacritic,
Agents of S.H.I.E.L.D. (Season 3),2016,TMDB,
Luke Cage (Season 1),2016,IMDb,
Luke Cage (Season 1),2016,Rotten Tomatoes,
Luke Cage (Season 1),2016,Metacritic,
Luke Cage (Season 1),2016,TMDB,
Doctor Strange,2016,IMDb,7.5
Doctor Strange,2016,Rotten Tomatoes,89%
Doctor Strange,2016,Metacritic,72/100
Doctor Strange,2016,TMDB,7.421
Legion (Season 1),2017,IMDb,
Legion (Season 1),2017,Rotten Tomatoes,
Legion (Season 1),2017,Metacritic,
Legion (Season 1),2017,TMDB,
Iron Fist (Season 1),2017,IMDb,
Iron Fist (Season 1),2017,Rotten Tomatoes,
Iron Fist (Season 1),2017,Metacritic,
Iron Fist (Season 1),2017,TMDB,
Logan,2017,IMDb,8.1
Logan,2017,Rotten Tomatoes,93%
Logan,2017,Metacritic,77/100
Logan,2017,TMDB,7.82
Guardians of the Galaxy Vol. 2,2017,IMDb,7.6
Guardians of the Galaxy Vol. 2,2017,Rotten Tomatoes,85%
Guardians of the Galaxy Vol. 2,2017,Metacritic,67/100
Guardians of the Galaxy Vol. 2,2017,TMDB,7.6
Spider-Man: Homecoming,2017,IMDb,7.4
Spider-Man: Homecoming,2017,Rotten Tomatoes,92%
Spider-Man: Homecoming,2017,Metacritic,73/100
Spider-Man: Homecoming,2017,TMDB,7.331
The Defenders,2017,TMDB,5.026
Inhumans,2017,TMDB,5.313
The Gifted (Season 1),2017,IMDb,
The Gifted (Season 1),2017,Rotten Tomatoes,
The Gifted (Season 1),2017,Metacritic,
The Gifted (Season 1),2017,TMDB,
Thor: Ragnarok,2017,IMDb,7.9
Thor: Ragnarok,2017,Rotten Tomatoes,93%
Thor: Ragnarok,2017,Metacritic,74/100
Thor: Ragnarok,2017,TMDB,7.581
The Punisher (Season 1),2017,IMDb,
The Punisher (Season 1),2017,Rotten Tomatoes,
The Punisher (Season 1),2017,Metacritic,
The Punisher (Season 1),2017,TMDB,
Runaways (Season 1),2017,IMDb,
Runaways (Season 1),2017,Rotten Tomatoes,
Runaways (Season 1),2017,Metacritic,
Runaways (Season 1),2017,TMDB,
Agents of S.H.I.E.L.D. (Season 4),2017,IMDb,
Agents of S.H.I.E.L.D. (Season 4),2017,Rotten Tomatoes,
Agents of S.H.I.E.L.D. (Season 4),2017,Metacritic,
Agents of S.H.I.E.L.D. (Season 4),2017,TMDB,
Black Panther,2018,IMDb,7.3
Black Panther,2018,Rotten Tomatoes,96%
Black Panther,2018,Metacritic,88/100
Black Panther,2018,TMDB,7.364
Jessica Jones (Season 2),2018,IMDb,
Jessica Jones (Season 2),2018,Rotten Tomatoes,
Jessica Jones (Season 2),2018,Metacritic,
Jessica Jones (Season 2),2018,TMDB,
Legion (Season 2),2018,IMDb,
Legion (Season 2),2018,Rotten Tomatoes,
Legion (Season 2),2018,Metacritic,
Legion (Season 2),2018,TMDB,
Avengers: Infinity War,2018,IMDb,8.4
Avengers: Infinity War,2018,Rotten Tomatoes,85%
